,Id,MSSubClass,MSZoning,Street,LotShape,Utilities,HouseStyle,OverallQual,OverallCond,RoofStyle,ExterCond,Foundation,BsmtCond,GarageCars,Fence,SaleType,SaleCondition,SalePrice
228,229,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,125000
229,230,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,192500
230,231,20,RL,Pave,Reg,AllPub,1Story,6,6,Hip,TA,CBlock,TA,1,None,WD,Normal,148000
231,232,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,403000
232,233,160,RM,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,1,None,WD,Normal,94500
233,234,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,Gd,1,MnPrv,WD,Normal,128200
234,235,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,216500
235,236,160,RM,Pave,Reg,AllPub,2Story,6,3,Gable,TA,CBlock,TA,1,None,WD,Normal,89500
236,237,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,185500
237,238,60,RL,Pave,IR1,AllPub,2Story,7,7,Gable,TA,PConc,TA,2,None,WD,Normal,194500
238,239,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,New,Partial,318000
239,240,50,RL,Pave,Reg,AllPub,1.5Fin,6,4,Gable,TA,CBlock,Fa,1,MnPrv,WD,Normal,113000
240,241,20,FV,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,262500
241,242,30,RM,Pave,Reg,AllPub,1Story,5,9,Gable,Gd,CBlock,TA,0,None,WD,Normal,110500
242,243,50,RM,Pave,Reg,AllPub,1.5Fin,5,4,Gable,TA,BrkTil,TA,1,None,WD,Normal,79000
243,244,160,RL,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,1,None,WD,Normal,120000
244,245,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,205000
245,246,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal,241500
246,247,190,RM,Pave,Reg,AllPub,2Story,6,8,Gable,Fa,Stone,TA,1,None,WD,Normal,137000
247,248,20,RL,Pave,Reg,AllPub,1Story,6,5,Hip,TA,CBlock,TA,2,None,WD,Normal,140000
248,249,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,180000
249,250,50,RL,Pave,IR2,AllPub,1.5Fin,6,7,Gable,TA,CBlock,TA,2,None,WD,Normal,277000
250,251,30,RL,Pave,IR1,AllPub,1Story,3,2,Gable,Po,CBlock,TA,0,GdWo,WD,Normal,76500
251,252,120,RM,Pave,IR1,AllPub,1Story,8,5,Hip,TA,PConc,TA,2,None,WD,Family,235000
252,253,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,173000
253,254,80,RL,Pave,Reg,AllPub,SLvl,6,7,Hip,TA,CBlock,TA,1,MnPrv,CWD,Normal,158000
254,255,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,Gd,CBlock,TA,1,None,WD,Normal,145000
255,256,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,230000
256,257,60,FV,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,207500
257,258,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Abnorml,220000
258,259,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,231500
259,260,20,RM,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,None,1,None,WD,Normal,97000
260,261,80,RL,Pave,Reg,AllPub,SLvl,6,5,Gable,TA,CBlock,TA,2,GdWo,WD,Normal,176000
261,262,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,276000
262,263,80,RL,Pave,IR1,AllPub,SLvl,6,7,Gable,TA,CBlock,Gd,2,GdWo,WD,Normal,151000
263,264,50,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,BrkTil,TA,2,None,WD,Normal,130000
264,265,30,RM,Pave,IR3,AllPub,1Story,5,5,Gable,TA,BrkTil,TA,2,None,WD,Normal,73000
265,266,20,RL,Pave,IR1,AllPub,1Story,6,6,Gable,Gd,CBlock,TA,2,GdPrv,WD,Normal,175500
266,267,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,185000
267,268,75,RL,Pave,Reg,AllPub,2.5Fin,5,8,Gable,TA,PConc,TA,1,None,WD,Normal,179500
268,269,30,RM,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,120500
269,270,20,RL,Pave,IR1,AllPub,1Story,6,7,Hip,Gd,CBlock,Gd,1,GdPrv,WD,Normal,148000
270,271,60,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,266000
271,272,20,RL,Pave,IR1,AllPub,1Story,7,7,Flat,TA,CBlock,TA,2,None,WD,Normal,241500
272,273,60,RL,Pave,IR1,AllPub,2Story,8,7,Gable,TA,PConc,TA,3,None,WD,Normal,290000
273,274,20,RL,Pave,Reg,AllPub,1Story,6,6,Hip,TA,CBlock,TA,1,MnPrv,WD,Normal,139000
274,275,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,1,None,WD,Normal,124500
275,276,50,RL,Pave,Reg,AllPub,1.5Fin,7,7,Gable,Gd,BrkTil,TA,2,None,WD,Normal,205000
276,277,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,201000
277,278,20,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,CBlock,TA,2,None,WD,Normal,141000
278,279,20,RL,Pave,Reg,AllPub,1Story,9,5,Gable,TA,PConc,TA,3,None,New,Partial,415298
279,280,60,RL,Pave,Reg,AllPub,2Story,7,5,Hip,TA,CBlock,TA,2,None,WD,Normal,192000
280,281,60,RL,Pave,Reg,AllPub,2Story,7,6,Gable,TA,CBlock,TA,2,None,WD,Normal,228500
281,282,20,FV,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,New,Partial,185000
282,283,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,ConLw,Normal,207500
283,284,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,244600
284,285,120,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,179200
285,286,160,FV,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,164700
286,287,50,RL,Pave,IR1,AllPub,1.5Fin,6,7,Gable,TA,CBlock,TA,2,GdPrv,WD,Normal,159000
287,288,20,RL,Pave,IR1,AllPub,1Story,4,4,Gable,TA,CBlock,TA,0,None,WD,Normal,88000
288,289,20,RL,Pave,IR1,AllPub,1Story,5,5,Gable,Gd,CBlock,TA,1,MnPrv,WD,Normal,122000
289,290,70,RL,Pave,Reg,AllPub,2Story,6,7,Gable,TA,BrkTil,TA,1,None,WD,Normal,153575
290,291,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,New,Partial,233230
291,292,190,RL,Pave,Reg,AllPub,2Story,5,6,Gable,Fa,PConc,Fa,0,None,WD,Normal,135900
292,293,50,RL,Pave,Reg,AllPub,1.5Fin,5,4,Gable,TA,CBlock,TA,1,None,WD,Normal,131000
293,294,60,RL,Pave,IR1,AllPub,2Story,7,7,Gable,TA,CBlock,TA,2,None,WD,Normal,235000
294,295,20,RL,Pave,Reg,AllPub,1Story,6,5,Hip,TA,CBlock,TA,2,None,WD,Normal,167000
295,296,80,RL,Pave,IR1,AllPub,SLvl,6,6,Gable,TA,CBlock,TA,2,GdPrv,WD,Normal,142500
296,297,50,RM,Pave,Reg,AllPub,1.5Fin,5,5,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,152000
297,298,60,FV,Pave,IR1,AllPub,2Story,7,5,Hip,TA,PConc,TA,2,None,WD,Normal,239000
298,299,60,RL,Pave,Reg,AllPub,2Story,6,6,Mansard,TA,CBlock,TA,2,None,WD,Normal,175000
299,300,20,RL,Pave,Reg,AllPub,1Story,6,8,Gable,Gd,CBlock,TA,1,GdPrv,WD,Family,158500
300,301,190,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,1,None,WD,Normal,157000
301,302,60,RL,Pave,IR3,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,267000
302,303,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,3,None,WD,Normal,205000
303,304,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,PConc,TA,2,GdWo,WD,Abnorml,149900
304,305,75,RM,Pave,Reg,AllPub,2.5Fin,7,9,Gable,TA,BrkTil,TA,3,None,WD,Normal,295000
305,306,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,305900
306,307,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,CBlock,TA,3,None,WD,Normal,225000
307,308,50,RM,Pave,IR1,AllPub,1.5Fin,6,7,Gable,Fa,CBlock,TA,0,MnPrv,WD,Normal,89500
308,309,30,RL,Pave,IR1,AllPub,1Story,4,5,Gable,TA,CBlock,TA,2,None,WD,Normal,82500
309,310,20,RL,Pave,IR1,AllPub,1Story,9,5,Gable,TA,PConc,TA,3,None,WD,Normal,360000
310,311,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,165600
311,312,20,RL,Pave,Reg,AllPub,1Story,6,6,Gable,Gd,CBlock,TA,1,None,WD,Normal,132000
312,313,190,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,119900
313,314,20,RL,Pave,IR3,AllPub,1Story,7,5,Hip,TA,CBlock,TA,2,None,WD,Normal,375000
314,315,70,RM,Pave,Reg,AllPub,2Story,7,7,Gable,TA,BrkTil,Gd,2,None,WD,Normal,178000
315,316,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,188500
316,317,60,RL,Pave,IR1,AllPub,2Story,7,7,Gable,TA,CBlock,TA,2,GdPrv,WD,Normal,260000
317,318,60,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,270000
318,319,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,3,None,WD,Normal,260000
319,320,80,RL,Pave,Reg,AllPub,SLvl,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal,187500
320,321,60,RL,Pave,Reg,AllPub,2Story,9,5,Gable,TA,PConc,Gd,3,None,New,Partial,342643
321,322,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,354000
322,323,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,301000
323,324,20,RM,Pave,Reg,AllPub,1Story,3,8,Gable,Gd,CBlock,TA,1,None,WD,Normal,126175
324,325,80,RL,Pave,Reg,AllPub,SLvl,7,7,Mansard,Gd,CBlock,TA,2,None,WD,Normal,242000
325,326,45,RM,Pave,Reg,AllPub,1.5Unf,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal,87000
326,327,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,Con,Normal,324000
327,328,20,RL,Pave,Reg,AllPub,1Story,6,5,Hip,TA,CBlock,TA,1,None,WD,Normal,145250
328,329,75,RL,Pave,IR1,AllPub,2.5Unf,6,6,Gable,TA,BrkTil,TA,2,None,WD,Normal,214500
329,330,70,RM,Pave,Reg,AllPub,2Story,5,5,Gable,TA,PConc,TA,1,GdWo,WD,Normal,78000
330,331,90,RL,Pave,IR1,AllPub,1Story,5,4,Gable,TA,CBlock,TA,1,None,WD,Normal,119000
331,332,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,139000
332,333,20,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,284000
333,334,120,RM,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,207000
334,335,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,192000
335,336,190,RL,Grvl,IR1,AllPub,1.5Fin,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal,228950
336,337,20,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,WD,Normal,377426
337,338,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,214000
338,339,20,RL,Pave,Reg,AllPub,1Story,7,7,Gable,TA,CBlock,TA,2,None,WD,Normal,202500
339,340,20,RL,Pave,IR1,AllPub,1Story,6,7,Hip,TA,CBlock,Fa,1,None,WD,Normal,155000
340,341,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,202900
341,342,20,RH,Pave,Reg,AllPub,1Story,4,4,Gable,Fa,CBlock,Fa,1,None,WD,Normal,82000
342,343,90,RL,Pave,Reg,AllPub,1Story,3,4,Gable,TA,Slab,None,2,None,WD,Normal,87500
343,344,120,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,2,None,WD,Normal,266000
344,345,160,RM,Pave,Reg,AllPub,2Story,5,3,Gable,TA,CBlock,TA,1,None,WD,Normal,85000
345,346,50,RL,Pave,Reg,AllPub,1.5Fin,6,5,Gable,TA,BrkTil,TA,1,None,WD,Normal,140200
346,347,20,RL,Pave,IR1,AllPub,1Story,6,8,Hip,Gd,CBlock,TA,1,None,WD,Normal,151500
347,348,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,157500
348,349,160,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,154000
349,350,60,RL,Pave,IR2,AllPub,2Story,9,5,Hip,TA,PConc,TA,3,None,New,Partial,437154
350,351,120,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,2,None,New,Partial,318061
351,352,120,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Abnorml,190000
352,353,50,RL,Pave,Reg,AllPub,1.5Fin,5,6,Gable,TA,CBlock,Fa,1,None,ConLw,Normal,95000
353,354,30,RM,Pave,Reg,AllPub,1Story,6,8,Gable,Gd,BrkTil,TA,2,None,WD,Normal,105900
354,355,50,RL,Pave,Reg,AllPub,1.5Fin,6,5,Gable,TA,CBlock,TA,1,None,WD,Normal,140000
355,356,20,RL,Pave,IR2,AllPub,1Story,6,5,Gable,Gd,PConc,Gd,2,None,WD,Normal,177500
356,357,20,RL,Pave,IR1,AllPub,1Story,6,6,Gable,TA,PConc,TA,2,None,WD,Normal,173000
357,358,120,RM,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,MnPrv,WD,Normal,134000
358,359,80,RL,Pave,IR1,AllPub,SLvl,5,4,Hip,TA,CBlock,TA,1,None,WD,Abnorml,130000
359,360,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,280000
360,361,85,RL,Pave,IR1,AllPub,SFoyer,6,6,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,156000
361,362,50,RL,Pave,Reg,AllPub,1.5Fin,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal,145000
362,363,85,RL,Pave,Reg,AllPub,SFoyer,7,5,Gable,TA,Slab,None,2,None,ConLD,Normal,198500
363,364,160,RM,Pave,Reg,AllPub,2Story,6,8,Gable,TA,CBlock,TA,1,None,WD,Normal,118000
364,365,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,190000
365,366,70,RM,Pave,Reg,AllPub,2Story,5,7,Hip,Gd,CBlock,Fa,1,None,WD,Normal,147000
366,367,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,159000
367,368,80,RL,Pave,IR1,AllPub,SLvl,6,5,Gable,TA,CBlock,TA,1,None,WD,Normal,165000
368,369,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,PConc,TA,1,None,WD,Normal,132000
369,370,20,RL,Pave,IR1,AllPub,1Story,5,7,Gable,Gd,CBlock,TA,2,None,WD,Normal,162000
370,371,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,172400
371,372,50,RL,Pave,Reg,AllPub,1.5Fin,4,4,Gable,TA,CBlock,None,2,None,WD,Normal,134432
372,373,120,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,125000
373,374,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,PConc,TA,1,GdWo,WD,Normal,123000
374,375,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,219500
375,376,30,RL,Pave,IR1,AllPub,1Story,1,1,Gable,Fa,BrkTil,Po,0,None,WD,Normal,61000
376,377,85,RL,Pave,IR1,AllPub,SFoyer,5,5,Gable,TA,PConc,TA,2,None,WD,Normal,148000
377,378,60,FV,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,340000
378,379,20,RL,Pave,Reg,AllPub,1Story,9,2,Hip,TA,PConc,TA,3,None,New,Partial,394432
379,380,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,179000
380,381,50,RL,Pave,Reg,AllPub,1.5Fin,5,6,Gable,TA,BrkTil,TA,1,None,WD,Normal,127000
381,382,20,FV,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,Gd,2,None,New,Partial,187750
382,383,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,213500
383,384,45,RH,Pave,Reg,AllPub,1.5Unf,6,3,Gable,TA,BrkTil,Fa,2,None,WD,Normal,76000
384,385,60,RL,Pave,IR2,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,240000
385,386,120,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,192000
386,387,50,RL,Pave,Reg,AllPub,1.5Fin,5,3,Gambrel,Fa,PConc,TA,0,None,WD,AdjLand,81000
387,388,80,RL,Pave,Reg,AllPub,SLvl,6,6,Hip,TA,CBlock,TA,1,GdWo,WD,Abnorml,125000
388,389,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,191000
389,390,60,RL,Pave,Reg,AllPub,2Story,10,5,Gable,TA,PConc,TA,3,None,New,Partial,426000
390,391,50,RL,Pave,Reg,AllPub,1.5Fin,5,8,Gable,TA,BrkTil,Gd,1,MnPrv,WD,Normal,119000
391,392,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,215000
392,393,20,RL,Pave,IR1,AllPub,1Story,5,7,Gable,TA,Slab,None,1,MnPrv,WD,Normal,106500
393,394,30,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,CBlock,TA,0,GdWo,WD,Abnorml,100000
394,395,50,RL,Pave,Reg,AllPub,1.5Fin,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,109000
395,396,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,129000
396,397,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,2,None,WD,Normal,123000
397,398,60,RL,Pave,Reg,AllPub,2Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal,169500
398,399,30,RM,Pave,Reg,AllPub,1Story,5,2,Gable,Fa,BrkTil,Po,1,None,WD,Abnorml,67000
399,400,60,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,241000
400,401,120,RL,Pave,IR2,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,245500
401,402,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,164990
402,403,30,RL,Pave,Reg,AllPub,1Story,5,8,Gable,TA,PConc,TA,1,GdPrv,WD,Normal,108000
403,404,60,RL,Pave,Reg,AllPub,2Story,8,5,Hip,TA,PConc,TA,2,None,WD,Abnorml,258000
404,405,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,168000
405,406,20,RL,Pave,IR1,AllPub,1Story,4,4,Gable,TA,CBlock,TA,2,GdWo,WD,Normal,150000
406,407,50,RL,Pave,Reg,AllPub,1.5Fin,6,5,Gable,TA,BrkTil,TA,1,None,WD,Normal,115000
407,408,70,RL,Pave,Reg,AllPub,2Story,6,7,Gable,TA,BrkTil,TA,1,None,WD,Normal,177000
408,409,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,Gd,3,None,New,Partial,280000
409,410,60,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,339750
410,411,20,RL,Pave,Reg,AllPub,1Story,5,3,Gable,Fa,CBlock,Fa,1,None,COD,Abnorml,60000
411,412,190,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,2,None,WD,Normal,145000
412,413,20,FV,Pave,IR2,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,222000
413,414,30,RM,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal,115000
414,415,60,RL,Pave,IR2,AllPub,2Story,7,5,Gable,TA,PConc,TA,3,None,WD,Normal,228000
415,416,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,181134
416,417,60,RL,Pave,Reg,AllPub,2Story,6,7,Hip,TA,CBlock,TA,2,None,WD,Normal,149500
417,418,70,RL,Pave,IR1,AllPub,2Story,6,6,Hip,TA,BrkTil,TA,3,None,WD,Normal,239000
418,419,50,RL,Pave,Reg,AllPub,1.5Fin,5,6,Gable,TA,BrkTil,TA,1,None,WD,AdjLand,126000
419,420,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,142000
420,421,90,RM,Pave,Reg,AllPub,SFoyer,7,5,Gable,Gd,PConc,Gd,4,None,WD,Alloca,206300
421,422,20,RL,Pave,IR1,AllPub,1Story,6,7,Gable,TA,CBlock,TA,2,None,WD,Normal,215000
422,423,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,2,None,WD,Normal,113000
423,424,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,315000
424,425,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,CBlock,TA,1,None,WD,Normal,139000
425,426,60,RM,Pave,Reg,AllPub,2Story,7,8,Gable,Gd,CBlock,TA,1,None,WD,Normal,135000
426,427,80,RL,Pave,Reg,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,275000
427,428,20,RL,Pave,IR1,AllPub,1Story,4,6,Hip,TA,CBlock,TA,1,None,WD,Normal,109008
428,429,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,195400
429,430,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,175000
430,431,160,RM,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,1,None,COD,Abnorml,85400
431,432,50,RM,Pave,IR1,AllPub,1.5Fin,6,7,Gable,TA,BrkTil,TA,0,MnPrv,ConLD,Abnorml,79900
432,433,160,RM,Pave,Reg,AllPub,2Story,5,5,Gable,TA,CBlock,TA,2,None,WD,Normal,122500
433,434,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,181000
434,435,180,RM,Pave,Reg,AllPub,SFoyer,4,7,Gable,Gd,CBlock,TA,0,None,WD,Normal,81000
435,436,60,RL,Pave,IR2,AllPub,2Story,7,6,Gable,TA,PConc,TA,2,None,ConLw,Normal,212000
436,437,50,RM,Pave,Reg,AllPub,1.5Fin,6,8,Gable,TA,BrkTil,TA,2,None,WD,Normal,116000
437,438,45,RM,Pave,Reg,AllPub,1.5Unf,6,7,Gable,TA,PConc,TA,1,None,WD,Normal,119000
438,439,30,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,PConc,TA,1,MnPrv,WD,Normal,90350
439,440,50,RL,Pave,Reg,AllPub,1.5Fin,6,8,Gable,TA,BrkTil,Fa,2,GdPrv,ConLI,Normal,110000
440,441,20,RL,Pave,Reg,AllPub,1Story,10,5,Hip,TA,PConc,TA,3,None,WD,Normal,555000
441,442,90,RL,Pave,Reg,AllPub,1Story,4,4,Gable,TA,CBlock,TA,0,None,WD,Normal,118000
442,443,50,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,PConc,TA,2,None,WD,Normal,162900
443,444,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,3,None,New,Partial,172500
444,445,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,Gd,PConc,TA,2,None,WD,Normal,210000
445,446,20,RL,Pave,Reg,AllPub,1Story,6,5,Hip,TA,CBlock,TA,2,MnPrv,COD,Normal,127500
446,447,20,RL,Pave,IR1,AllPub,1Story,6,6,Gable,TA,CBlock,TA,2,None,WD,Normal,190000
447,448,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,199900
448,449,50,RM,Pave,Reg,AllPub,1.5Fin,6,6,Gable,TA,BrkTil,TA,1,None,WD,Normal,119500
449,450,50,RM,Pave,Reg,AllPub,1.5Fin,3,7,Gable,Gd,CBlock,TA,1,None,WD,Normal,120000
450,451,30,RM,Pave,Reg,AllPub,1Story,6,8,Hip,TA,BrkTil,TA,1,None,WD,Normal,110000
451,452,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal,280000
452,453,60,RL,Pave,IR1,AllPub,2Story,6,5,Hip,TA,PConc,TA,2,None,WD,Normal,204000
453,454,60,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,210000
454,455,90,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,2,None,WD,Family,188000
455,456,20,RL,Pave,Reg,AllPub,1Story,7,6,Hip,TA,CBlock,TA,2,None,WD,Normal,175500
456,457,70,RM,Pave,Reg,AllPub,2Story,5,5,Gable,TA,BrkTil,TA,3,None,COD,Abnorml,98000
457,458,20,RL,Pave,IR1,AllPub,1Story,4,6,Flat,TA,CBlock,TA,2,None,WD,Normal,256000
458,459,70,RM,Pave,Reg,AllPub,2Story,8,7,Hip,Gd,PConc,TA,1,MnPrv,WD,Normal,161000
